Gen	Kas	Kurz	Adj	Linksk	Linksv	Rechtsv
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	1	Int	0	1
Fem	Akk	0	0	Int	0	1
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	1	Int	0	1
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	0	Int	0	1
Fem	Akk	0	0	Int	0	1
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	0	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Akk	0	1	Int	0	0
Fem	Dat	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	1	Int	0	1
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	1	Int	0	1
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	1
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	1	Int	0	1
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	1	Int	0	0
Fem	Nom	0	0	Int	0	0
Fem	Nom	0	0	Int	0	1
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	1	Int	0	0
Mask	Akk	0	1	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	1	Int	0	0
Mask	Akk	0	1	Int	0	0
Mask	Akk	0	0	Int	0	1
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	0	Int	0	1
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	1	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	0	Int	0	0
Mask	Akk	0	1	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	1
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	1	Int	0	0
Mask	Nom	0	1	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	1	Int	0	1
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	1	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	1	Int	0	0
Mask	Nom	0	1	Int	0	1
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
Mask	Nom	0	0	Int	0	0
